epoch,step,train_acc_mean_pos_epoch,train_acc_mean_pos_step,train_acc_top1_epoch,train_acc_top1_step,train_acc_top5_epoch,train_acc_top5_step,train_loss_cross_epoch,train_loss_cross_step,train_loss_epoch,train_loss_step,val_acc_mean_pos_epoch,val_acc_mean_pos_step,val_acc_top1_epoch,val_acc_top1_step,val_acc_top5_epoch,val_acc_top5_step,val_loss_cross_epoch,val_loss_cross_step,val_loss_epoch,val_loss_step
0,49,,5.0,,0.0833333358168602,,0.5833333730697632,,2.917478322982788,,2.917478322982788,,,,,,,,,,
,0,,,,,,,,,,,,6.833333492279053,,0.0,,0.3333333432674408,,3.862602949142456,,3.862602949142456
,1,,,,,,,,,,,,5.583333492279053,,0.0,,0.5833333730697632,,3.9791762828826904,,3.9791762828826904
,2,,,,,,,,,,,,8.416666984558105,,0.0,,0.0,,4.7116804122924805,,4.7116804122924805
,3,,,,,,,,,,,,7.083333492279053,,0.0,,0.3333333432674408,,4.376138687133789,,4.376138687133789
,4,,,,,,,,,,,,7.083333492279053,,0.0,,0.25,,3.623844861984253,,3.623844861984253
,5,,,,,,,,,,,,7.333333492279053,,0.0,,0.3333333432674408,,4.1900634765625,,4.1900634765625
,6,,,,,,,,,,,,7.75,,0.0,,0.1666666716337204,,4.529587745666504,,4.529587745666504
,7,,,,,,,,,,,,6.9166669845581055,,0.0,,0.3333333432674408,,3.202758312225342,,3.202758312225342
,8,,,,,,,,,,,,6.833333492279053,,0.0833333358168602,,0.3333333432674408,,3.7183501720428467,,3.7183501720428467
,9,,,,,,,,,,,,6.6666669845581055,,0.0,,0.4166666865348816,,4.869966506958008,,4.869966506958008
,10,,,,,,,,,,,,5.583333492279053,,0.0833333358168602,,0.3333333432674408,,3.7357349395751953,,3.7357349395751953
,11,,,,,,,,,,,,5.9166669845581055,,0.0,,0.5,,3.018082618713379,,3.018082618713379
,12,,,,,,,,,,,,8.166666984558105,,0.0,,0.0833333358168602,,5.386991500854492,,5.386991500854492
,13,,,,,,,,,,,,6.0,,0.0833333358168602,,0.5,,4.546866416931152,,4.546866416931152
,14,,,,,,,,,,,,7.833333492279053,,0.0,,0.0833333358168602,,4.270357131958008,,4.270357131958008
,15,,,,,,,,,,,,5.25,,0.1666666716337204,,0.6666666865348816,,3.663343906402588,,3.663343906402588
,16,,,,,,,,,,,,5.9166669845581055,,0.0,,0.4166666865348816,,3.8009982109069824,,3.8009982109069824
,17,,,,,,,,,,,,7.0,,0.0,,0.25,,4.430695533752441,,4.430695533752441
,18,,,,,,,,,,,,2.5,,0.0,,1.0,,2.5876576900482178,,2.5876576900482178
0,82,,,,,,,,,,,6.561403274536133,,0.021929824724793434,,0.36403509974479675,,4.026573657989502,,4.026573657989502,
0,82,6.351405620574951,,0.04216867312788963,,0.4106425642967224,,3.1380114555358887,,3.1380114555358887,,,,,,,,,,,
1,99,,5.833333492279053,,0.0833333358168602,,0.5,,2.685971736907959,,2.685971736907959,,,,,,,,,,
1,149,,6.1666669845581055,,0.0833333358168602,,0.4166666865348816,,2.7168121337890625,,2.7168121337890625,,,,,,,,,,
,19,,,,,,,,,,,,6.5,,0.0,,0.3333333432674408,,3.6613903045654297,,3.6613903045654297
,20,,,,,,,,,,,,5.25,,0.0,,0.6666666865348816,,3.811643600463867,,3.811643600463867
,21,,,,,,,,,,,,8.166666984558105,,0.0,,0.0833333358168602,,4.4463114738464355,,4.4463114738464355
,22,,,,,,,,,,,,7.1666669845581055,,0.0,,0.25,,4.108651161193848,,4.108651161193848
,23,,,,,,,,,,,,6.75,,0.0,,0.25,,3.4772727489471436,,3.4772727489471436
,24,,,,,,,,,,,,7.4166669845581055,,0.0,,0.3333333432674408,,4.003871917724609,,4.003871917724609
,25,,,,,,,,,,,,7.4166669845581055,,0.0,,0.25,,4.282588958740234,,4.282588958740234
,26,,,,,,,,,,,,6.6666669845581055,,0.0,,0.3333333432674408,,3.0475423336029053,,3.0475423336029053
,27,,,,,,,,,,,,6.75,,0.0833333358168602,,0.25,,3.5830163955688477,,3.5830163955688477
,28,,,,,,,,,,,,6.75,,0.0,,0.4166666865348816,,4.676915168762207,,4.676915168762207
,29,,,,,,,,,,,,5.583333492279053,,0.0833333358168602,,0.4166666865348816,,3.632380962371826,,3.632380962371826
,30,,,,,,,,,,,,5.9166669845581055,,0.0,,0.5,,2.8681800365448,,2.8681800365448
,31,,,,,,,,,,,,8.083333969116211,,0.0,,0.0833333358168602,,5.178304195404053,,5.178304195404053
,32,,,,,,,,,,,,6.0,,0.0833333358168602,,0.5,,4.342892646789551,,4.342892646789551
,33,,,,,,,,,,,,7.75,,0.0,,0.0833333358168602,,4.01332950592041,,4.01332950592041
,34,,,,,,,,,,,,5.333333492279053,,0.1666666716337204,,0.5,,3.5344858169555664,,3.5344858169555664
,35,,,,,,,,,,,,5.9166669845581055,,0.0833333358168602,,0.4166666865348816,,3.615100622177124,,3.615100622177124
,36,,,,,,,,,,,,7.0,,0.0,,0.25,,4.173776149749756,,4.173776149749756
,37,,,,,,,,,,,,2.5,,0.0,,1.0,,2.4126973152160645,,2.4126973152160645
1,165,,,,,,,,,,,6.469298362731934,,0.02631578966975212,,0.36403509974479675,,3.8352816104888916,,3.8352816104888916,
1,165,5.780120372772217,,0.07228915393352509,,0.4969879388809204,,2.7947609424591064,,2.7947609424591064,,,,,,,,,,,
2,199,,5.0,,0.1666666716337204,,0.5833333730697632,,2.642484188079834,,2.642484188079834,,,,,,,,,,
,38,,,,,,,,,,,,6.4166669845581055,,0.0,,0.3333333432674408,,3.5238513946533203,,3.5238513946533203
,39,,,,,,,,,,,,5.25,,0.0,,0.5833333730697632,,3.6819162368774414,,3.6819162368774414
